桌号,队伍A,队员A1,队员A2,俱乐部A,队伍B,队员B1,队员B2,俱乐部B,同俱乐部
1,步步高升,尤超,霍磊,,钻石风暴,冯静,董娟,,
2,纵横四海,蔡丽,潘秀,,星河万里,范玲,方敏,野火掼蛋联盟,
3,旗开得胜,巴军,舒勇,野火掼蛋联盟,西区猎豹,郑浩,马超,西区体育俱乐部,
4,春暖花开,陆芳,邢艳,野火掼蛋联盟,黑桃ACE,秦明,任杰,东区华人联谊会,
5,群英荟萃,颜丽,乔秀,北岸华人协会,万里挑一,费强,阮刚,中区康养中心,
6,北岸龙腾,孙磊,钱峰,北岸华人协会,碧海蓝天,高雪,罗丽,,
7,风云双雄,杨洋,周杰,风云掼蛋社,东区虎啸,刘强,陈刚,东区华人联谊会,
8,南山雄狮,朱建华,胡伟,南山掼蛋俱乐部,新世纪,田超,邱磊,西区体育俱乐部,
9,旭日东升,安婷,郝丽,风云掼蛋社,乘风破浪,齐虹,殷霞,,
10,秋风落叶,柳强,易刚,奥克兰掼协,风起云涌,姜静,石娟,,
11,龙行天下,苏伟,蒋刚,,青春无悔,柴静,闵娟,奥克兰掼协,
12,紫荆花开,吕强,丁勇,东区华人联谊会,龙马精神,刁军,米杰,,
13,勇冠三军,尹飞,汪峰,西区体育俱乐部,南山闪电,张伟,李明,南山掼蛋俱乐部,
14,虎虎生威,翟强,和刚,奥克兰掼协,盛夏光年,姚婷,谭丽,,
15,一马当先,夏伟,季明,南山掼蛋俱乐部,鸿运当头,涂芳,万艳,,
16,梅花三弄,钟静,崔霞,,破浪前行,何飞,贺峰,北岸华人协会,
17,黄金搭档,谢军,唐亮,奥克兰掼协,大吉大利,谷飞,迟峰,北岸华人协会,
18,星空战队,温伟,向亮,,雷霆战队,王芳,赵丽,奥克兰掼协,
19,方块先锋,段超,常磊,中区康养中心,锦上添花,褚芳,卓艳,东区华人联谊会,
20,野火燎原,林小红,许艳,野火掼蛋联盟,卧虎藏龙,赖强,贾刚,,
21,中区飞鹰,黄敏,吴婷,中区康养中心,红心战队,龙伟,徐亮,风云掼蛋社,
22,雪山飞狐,曹芳,魏琳,风云掼蛋社,钢铁洪流,邓军,肖勇,南山掼蛋俱乐部,
23,冬日暖阳,莫芳,邹艳,,凤舞九天,沈虹,韩霞,中区康养中心,
24,旭日战队,焦伟,耿明,,吉祥如意,穆丽,薛秀,西区体育俱乐部,
