队伍名称,队员1,性别1,队员2,性别2,所属俱乐部/社团,当前积分,净积小分,累积小分
南山闪电,张伟,男,李明,男,南山掼蛋俱乐部,4.0,-1,23
雷霆战队,王芳,女,赵丽,女,奥克兰掼协,4.0,-10,13
东区虎啸,刘强,男,陈刚,男,东区华人联谊会,4.0,-8,14
风云双雄,杨洋,男,周杰,男,风云掼蛋社,4.0,10,24
中区飞鹰,黄敏,女,吴婷,女,中区康养中心,2.0,-12,12
北岸龙腾,孙磊,男,钱峰,男,北岸华人协会,6.0,6,26
西区猎豹,郑浩,男,马超,男,西区体育俱乐部,6.0,10,26
野火燎原,林小红,女,许艳,女,野火掼蛋联盟,2.0,-8,16
南山雄狮,朱建华,男,胡伟,男,南山掼蛋俱乐部,4.0,10,23
碧海蓝天,高雪,女,罗丽,女,,6.0,3,26
黄金搭档,谢军,男,唐亮,男,奥克兰掼协,4.0,-6,13
钻石风暴,冯静,女,董娟,女,,6.0,21,26
紫荆花开,吕强,男,丁勇,男,东区华人联谊会,4.0,1,24
雪山飞狐,曹芳,女,魏琳,女,风云掼蛋社,2.0,-14,10
龙行天下,苏伟,男,蒋刚,男,,4.0,3,16
凤舞九天,沈虹,女,韩霞,女,中区康养中心,2.0,-18,6
破浪前行,何飞,男,贺峰,男,北岸华人协会,4.0,-5,13
纵横四海,蔡丽,女,潘秀,女,,6.0,17,26
新世纪,田超,男,邱磊,男,西区体育俱乐部,4.0,8,22
星河万里,范玲,女,方敏,女,野火掼蛋联盟,6.0,15,26
钢铁洪流,邓军,男,肖勇,男,南山掼蛋俱乐部,2.0,-15,9
盛夏光年,姚婷,女,谭丽,女,,4.0,-1,20
秋风落叶,柳强,男,易刚,男,奥克兰掼协,4.0,5,24
冬日暖阳,莫芳,女,邹艳,女,,2.0,-15,9
黑桃ACE,秦明,男,任杰,男,东区华人联谊会,6.0,10,26
红心战队,龙伟,男,徐亮,男,风云掼蛋社,2.0,-12,12
梅花三弄,钟静,女,崔霞,女,,4.0,-5,19
方块先锋,段超,男,常磊,男,中区康养中心,2.0,-2,22
群英荟萃,颜丽,女,乔秀,女,北岸华人协会,6.0,8,26
卧虎藏龙,赖强,男,贾刚,男,,2.0,-9,15
勇冠三军,尹飞,男,汪峰,男,西区体育俱乐部,4.0,0,23
春暖花开,陆芳,女,邢艳,女,野火掼蛋联盟,6.0,13,26
一马当先,夏伟,男,季明,男,南山掼蛋俱乐部,4.0,-3,16
风起云涌,姜静,女,石娟,女,,4.0,3,19
虎虎生威,翟强,男,和刚,男,奥克兰掼协,4.0,-1,21
龙马精神,刁军,男,米杰,男,,4.0,1,22
锦上添花,褚芳,女,卓艳,女,东区华人联谊会,2.0,-4,20
星空战队,温伟,男,向亮,男,,4.0,-9,14
旭日东升,安婷,女,郝丽,女,风云掼蛋社,4.0,7,23
万里挑一,费强,男,阮刚,男,中区康养中心,6.0,8,26
乘风破浪,齐虹,女,殷霞,女,,4.0,7,20
大吉大利,谷飞,男,迟峰,男,北岸华人协会,4.0,-6,13
吉祥如意,穆丽,女,薛秀,女,西区体育俱乐部,2.0,-19,5
步步高升,尤超,男,霍磊,男,,6.0,22,26
鸿运当头,涂芳,女,万艳,女,,4.0,-4,19
旗开得胜,巴军,男,舒勇,男,野火掼蛋联盟,6.0,15,26
旭日战队,焦伟,男,耿明,男,,2.0,-18,6
青春无悔,柴静,女,闵娟,女,奥克兰掼协,4.0,2,15
