队伍名称,队员1,性别1,队员2,性别2,所属俱乐部/社团,当前积分,净积小分,累积小分
秋风落叶,柳强,男,易刚,男,奥克兰掼协,7.0,11,34
万里挑一,费强,男,阮刚,男,中区康养中心,9.0,22,39
步步高升,尤超,男,霍磊,男,,7.0,6,31
勇冠三军,尹飞,男,汪峰,男,西区体育俱乐部,9.0,8,39
北岸龙腾,孙磊,男,钱峰,男,北岸华人协会,9.0,32,39
星河万里,范玲,女,方敏,女,野火掼蛋联盟,7.0,11,37
旭日东升,安婷,女,郝丽,女,风云掼蛋社,7.0,11,34
旗开得胜,巴军,男,舒勇,男,野火掼蛋联盟,9.0,30,39
破浪前行,何飞,男,贺峰,男,北岸华人协会,7.0,8,30
龙行天下,苏伟,男,蒋刚,男,,7.0,11,31
乘风破浪,齐虹,女,殷霞,女,,7.0,-4,26
群英荟萃,颜丽,女,乔秀,女,北岸华人协会,7.0,16,33
春暖花开,陆芳,女,邢艳,女,野火掼蛋联盟,7.0,5,29
南山闪电,张伟,男,李明,男,南山掼蛋俱乐部,7.0,8,33
青春无悔,柴静,女,闵娟,女,奥克兰掼协,7.0,4,32
雷霆战队,王芳,女,赵丽,女,奥克兰掼协,7.0,3,26
